iter	posterior	m_anc_n1	m_anc_n2	m_anc_n3	m_anc_n4	m_anc_n5	m_anc_n6	m_anc_n7	m_anc_n8	m_anc_n9	logX_anc_n1	logX_anc_n2	logX_anc_n3	logX_anc_n4	logX_anc_n5	logX_anc_n6	logX_anc_n7	logX_anc_n8	logX_anc_n9	S_m1	S_m2	S_m3	S_m4	S_m5	S_m6	S_m7	S_m8	S_m9	S_m10	S_m11	S_m12	S_m13	S_m14	S_m15	S_m16	S_m17	S_m18	S_X1	S_X2	S_X3	S_X4	S_X5	S_X6	S_X7	S_X8	S_X9	S_X10	S_X11	S_X12	S_X13	S_X14	S_X15	S_X16	S_X17	S_X18	sigma^2_m	sigma^2_logX	nu	omega	log.lik	acc 
11	-512686.747544943	10	10.0448903640917	9.62864429032731	9.1643668659276	9.14610521520631	9.5738362017836	9.16834562540613	9.30312931106583	9.21927402159236	0.7	-0.712576270294099	-1.21572415429882	-4.2035793888765	-5.03710164217783	-1.67149168609176	-5.36814290092563	-2.194511707977	-4.903605063637	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-512625.879204313	1 
12	-511568.452037329	10	10.0301557959131	9.63340098119275	9.15752558066861	9.14657531947358	9.58218929582053	9.16840682141752	9.28566588632049	9.21173270262827	0.7	-0.7278670550396	-1.22600565933555	-4.20599663519703	-5.04197489802754	-1.67818380665066	-5.36720865517828	-2.2032546793265	-4.89120569310313	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511507.592657814	1 
13	-510193.980321025	10	10.0520179049195	9.62590543753487	9.1593842161039	9.14111760748464	9.567140083672	9.16815511418755	9.28927070665386	9.20464895700444	0.7	-0.721648405705431	-1.22844620924118	-4.19724684136085	-5.04092626787959	-1.68566044216071	-5.36798244113451	-2.19113146350511	-4.8889115295221	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-510133.111268326	1 
14	-513410.319724946	10	10.0571720266141	9.63624843734838	9.16569588807667	9.15131814099792	9.58058788331699	9.16895640252235	9.32443364650176	9.19710503846962	0.7	-0.706246884757617	-1.22805497108406	-4.20706385233066	-5.03709660052078	-1.69714728825916	-5.36589344774927	-2.21443446900575	-4.88883017030716	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-513349.433105374	1 
15	-511296.394470233	10	10.0388343924822	9.64598805388928	9.16423748345147	9.14654068033875	9.58660724353842	9.1692590540013	9.35058425904208	9.23223396890813	0.7	-0.707809472748598	-1.23318451056968	-4.20992146214381	-5.04434131768904	-1.70314236848956	-5.36633059541701	-2.21164363365762	-4.89949256007858	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511235.511494913	1 
16	-507545.386715508	10	10.0546215067444	9.63361556076402	9.15643205823241	9.14673259624756	9.59684953848064	9.16784585647914	9.30329726533764	9.23877118641872	0.7	-0.707176424020524	-1.2209540413886	-4.20149727113318	-5.05049115234199	-1.69530713554497	-5.37024251533658	-2.20298854586559	-4.90051210837936	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-507484.497920767	1 
17	-511487.484092026	10	10.0292107948802	9.6262917556451	9.15635365512794	9.14096305984691	9.57897763635457	9.16859524370648	9.31253051600508	9.22299223144348	0.7	-0.723299631755978	-1.20888202752127	-4.19942704704202	-5.03952496452708	-1.68311805197718	-5.36697385492999	-2.21584074718122	-4.90058794135272	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511426.626207707	1 
18	-511829.901177207	10	10.0391404688462	9.62072003816124	9.15427316790292	9.1390118752883	9.57389891472972	9.16880458212134	9.32632293925584	9.21637215753507	0.7	-0.710027174187249	-1.20002931270084	-4.20152187643297	-5.03922047050214	-1.66897959023915	-5.36457568164214	-2.21010780691896	-4.90699111131916	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511769.037649471	1 
19	-512467.329791959	10	10.0292166675876	9.64014790425075	9.16823528675915	9.14636807266478	9.57132542257927	9.16739833432825	9.32003763843558	9.21800865945385	0.7	-0.719578599089659	-1.20175084470319	-4.20170890788196	-5.03815293928464	-1.6631447677451	-5.36949755083182	-2.23403484757517	-4.89690467736837	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-512406.4684109	1 
20	-511668.2063729	10	10.0498402788494	9.63647894215817	9.15962780304635	9.15279135355033	9.58971984331907	9.16751735894115	9.30622028759634	9.21862221922771	0.7	-0.712834390803505	-1.19841858489583	-4.20133729983458	-5.03973559476606	-1.67183624116769	-5.36635522371249	-2.21751722241423	-4.916223631762	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511607.324028582	1 
21	-510178.597161917	10	10.0680736754489	9.63084922159157	9.1590409299208	9.13993379968891	9.57716665933359	9.16760948706755	9.30372254900766	9.2181662543782	0.7	-0.712870416747541	-1.20762842996234	-4.20355076928651	-5.04437273198546	-1.66841272887145	-5.36954373951501	-2.2102714695002	-4.90813084537519	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-510117.706417005	1 
22	-509350.136049215	10	10.0482929148232	9.62263812513006	9.15438844672613	9.14346081888307	9.56385944101674	9.16956044625357	9.30516607625806	9.20810621543841	0.7	-0.723773047008769	-1.21632533557383	-4.19953890028705	-5.04492463314117	-1.67324762260028	-5.36660006075091	-2.22138180403809	-4.90590573592546	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-509289.270926962	1 
23	-512814.980052145	10	10.0488121364583	9.63561189156633	9.15207837743225	9.13756265337324	9.57590594605789	9.16812688121642	9.32707673489643	9.21195671679847	0.7	-0.721747698723602	-1.20800100298383	-4.20140825080444	-5.0365849504396	-1.67752028948109	-5.36537577535205	-2.22167022978528	-4.91587030492992	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-512754.101057485	1 
24	-511026.406974944	10	10.0529351559662	9.63625375940498	9.15825601185349	9.13581727565159	9.57955393259626	9.16367773429033	9.31914240328846	9.23324839198346	0.7	-0.712446630914023	-1.22482620490758	-4.20387440115773	-5.04201771173174	-1.68427007278623	-5.36784853490384	-2.22901262827863	-4.90685262397487	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-510965.523101186	1 
25	-511383.000567351	10	10.0468558811994	9.62607119952344	9.15917458533711	9.1432238980308	9.57246330940051	9.17031368457167	9.29811239706278	9.21417393908533	0.7	-0.70227090438401	-1.22074356397096	-4.20164023355453	-5.03947138888909	-1.69659479393915	-5.36493889260136	-2.21288104853036	-4.91125645864235	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511322.132735728	1 
26	-513226.303249352	10	10.065770170613	9.61707447561925	9.15476146514592	9.14450359697537	9.56439772707427	9.16769091417697	9.30953799728773	9.21086303841217	0.7	-0.719904000919529	-1.20659076110553	-4.20394008289248	-5.03646552562711	-1.68553510762417	-5.36916988113613	-2.20477624005379	-4.9085756290857	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-513165.424823087	1 
27	-512305.938631291	10	10.0311858393313	9.62849217988101	9.15157063863966	9.14025574272339	9.55980307288274	9.16828710116878	9.31138013860808	9.21077830829775	0.7	-0.723477598968037	-1.21448241323172	-4.20462621411302	-5.03933430849511	-1.66901640802163	-5.36857257310007	-2.21608539849491	-4.89679938011233	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-512245.085724813	1 
28	-510854.560557673	10	10.0492339481053	9.61851306864436	9.15287780433959	9.13238016319453	9.56631777279489	9.16667813372043	9.29208284343341	9.21856073284558	0.7	-0.718249152493679	-1.21049657986632	-4.20630967014953	-5.04394450857121	-1.67624883755033	-5.3692014544485	-2.2243725957988	-4.90937888117275	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-510793.696049002	1 
29	-510026.327134745	10	10.0495317659231	9.61716489193306	9.15275336265173	9.13793012279796	9.56192500040506	9.1697512654578	9.31266166883586	9.20182001817821	0.7	-0.715605952996402	-1.21525972203399	-4.20231319112369	-5.04362199112979	-1.67309725773395	-5.36918048522134	-2.19941483780407	-4.91305114641153	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-509965.462938639	1 
30	-511334.301956152	10	10.0470345462061	9.62591087376513	9.15619548142415	9.13568195732521	9.56921760276563	9.16670432204504	9.318489588663	9.20313149640623	0.7	-0.727406395160417	-1.21891537846778	-4.20234021610671	-5.04112429426236	-1.68270818959969	-5.36873849013695	-2.20311347357772	-4.88733296620329	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511273.432602138	1 
31	-510379.138262184	10	10.041894041345	9.62838825146747	9.15222597067612	9.13977027026826	9.5773697854118	9.1686362873147	9.31750409592854	9.22972804578907	0.7	-0.71987212222873	-1.22810609513144	-4.20407885127144	-5.04378176710477	-1.67706205914899	-5.36712225471731	-2.19037842752411	-4.89831529209002	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-510318.268458242	1 
32	-513763.5784626	10	10.048799793442	9.6304664866077	9.15577572955248	9.13972221165312	9.58285465226589	9.17063655277378	9.32918483050673	9.22351148766787	0.7	-0.71955535010306	-1.2223101618388	-4.20665015167579	-5.03634719617163	-1.68800449309476	-5.36882342251804	-2.2080601444248	-4.8917222447671	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-513702.698630611	1 
33	-510352.840706932	10	10.0578973453697	9.63050911970632	9.1612114926429	9.14141044075389	9.57101441515393	9.16786290468447	9.30541485401653	9.23165571615333	0.7	-0.727862443912533	-1.22252856178119	-4.20708350683805	-5.04634008150554	-1.69047452674672	-5.36681628514756	-2.22008155844756	-4.89913622672631	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-510291.960579919	1 
34	-511501.728386028	10	10.0501972215348	9.62740906788601	9.15544583355303	9.14543441178414	9.56845817382326	9.16785590957688	9.31971040135367	9.21371048833431	0.7	-0.72430789876736	-1.219176156176	-4.20484259380387	-5.04148359622791	-1.68616609751058	-5.36708517010826	-2.20948305706424	-4.91350816730753	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511440.856003735	1 
35	-512238.913990149	10	10.0506100981966	9.63175769749475	9.16396867478645	9.14266334765747	9.56913579725267	9.16904309567636	9.32865152048533	9.22398559495908	0.7	-0.696471021652937	-1.21187417311889	-4.2058002324625	-5.03958697831566	-1.67865978218155	-5.36491023284454	-2.20109652832199	-4.89528613754933	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-512178.037667049	1 
36	-509624.082473111	10	10.047018368053	9.6290910293223	9.16184605407326	9.15140116435185	9.57571250307386	9.16510419493909	9.33303888927778	9.23021897104094	0.7	-0.716086842882998	-1.19799283772121	-4.19737170763713	-5.04397389668491	-1.66871155725446	-5.36854709725798	-2.19782564675777	-4.88797780002502	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-509563.207176424	1 
37	-511414.121833196	10	10.0321285229743	9.62828948733939	9.15552786927022	9.1466468871082	9.5722166539957	9.16907782227396	9.30590657454121	9.23088187588319	0.7	-0.707178868339416	-1.2118059384641	-4.19585955240082	-5.0370086918411	-1.66990954508832	-5.36849587947009	-2.20818315672953	-4.89596635965047	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511353.26394766	1 
38	-512718.318560528	10	10.0526102755142	9.623665376754	9.16007847201622	9.14439201011483	9.56790282488438	9.16620130517008	9.32719392639792	9.21605285262414	0.7	-0.71040581057736	-1.21538811758472	-4.20527899535431	-5.03839741508235	-1.68558866162451	-5.36858294804957	-2.20768529978957	-4.88934000227261	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-512657.444927175	1 
39	-511177.536489069	10	10.052974459211	9.62970239376086	9.15939321129565	9.14723718613498	9.57146122032604	9.16834884656538	9.30407151638444	9.23246557126915	0.7	-0.71086271715314	-1.22067429188074	-4.21111066471278	-5.04516517321746	-1.67261882313732	-5.36756771484372	-2.20831944318044	-4.89759061916387	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511116.661047699	1 
40	-509695.526374099	10	10.0605233623225	9.63891946077462	9.15770248490502	9.14370482145151	9.58122003029941	9.16713529005437	9.30708298145839	9.21427453732821	0.7	-0.712605830574677	-1.2239377455466	-4.20445737367782	-5.04564936024742	-1.68704216185124	-5.36804631075071	-2.19393310963919	-4.90744668424924	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-509634.63684551	1 
41	-510521.425263061	10	10.0423781442721	9.62799572085647	9.15254028475962	9.14587601048736	9.58113744254123	9.16804105086216	9.28489705626637	9.21003158331746	0.7	-0.725297857456221	-1.22246668658977	-4.19800272048708	-5.04112964008833	-1.68789339836808	-5.36875768492089	-2.22483808438743	-4.89148727304404	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-510460.55841841	1 
42	-512285.459140638	10	10.0186266670101	9.6365774922033	9.15749136732375	9.13928568713681	9.58303287501188	9.1702729883473	9.30269345580207	9.19681665866144	0.7	-0.723440962571365	-1.23682794296933	-4.20021235894991	-5.03599557852641	-1.69132860875451	-5.36967622458691	-2.19213693157529	-4.90838668186152	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-512224.605689522	1 
43	-513574.599508535	10	10.0513032237966	9.62123128815009	9.15456165727221	9.13916405202257	9.56726034927163	9.16728268537786	9.32073873195055	9.21424385622063	0.7	-0.714145824913025	-1.23334843186664	-4.2082690733318	-5.03722689419966	-1.7007933649259	-5.36720624286415	-2.2201890836654	-4.88654523495138	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-513513.728853283	1 
44	-511418.240343117	10	10.0511233733793	9.62945012915183	9.15655018605806	9.14373821986638	9.55782563544529	9.16688118959343	9.30844728760886	9.22683307911577	0.7	-0.710880412524774	-1.22054212601269	-4.20482937983431	-5.04164287459339	-1.7061311581513	-5.36756699427134	-2.21440513805285	-4.89968813578434	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511357.371143047	1 
45	-509857.887309967	10	10.0558352848221	9.63489310433782	9.16018223589617	9.14458948920019	9.58201922563719	9.16820420533098	9.33278518262438	9.22211971679835	0.7	-0.717534564741039	-1.23262811451436	-4.20180288475146	-5.04413082472261	-1.68846340411551	-5.36547296896491	-2.20965194466595	-4.90765648174194	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-509796.999711204	1 
46	-512175.800598875	10	10.0286600265869	9.64105294931913	9.16178523541836	9.1446825289025	9.58094764023275	9.16760987876227	9.31169687365154	9.24579713607786	0.7	-0.714998268866151	-1.22283671093074	-4.20349422515122	-5.03900605707184	-1.70396850513375	-5.36667360152517	-2.18198638939977	-4.89632264005332	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-512114.935194197	1 
47	-510830.044794015	10	10.0523218692514	9.62316896634992	9.16181734714763	9.14693968078334	9.58807737416009	9.16775197019113	9.32859360192306	9.21579699642826	0.7	-0.707530676018859	-1.22465892047287	-4.19166213677413	-5.03687693281938	-1.68832824417213	-5.36797329676361	-2.22502846407847	-4.8805499914806	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-510769.163840011	1 
48	-513383.369627587	10	10.0499345234893	9.60686420507619	9.15460435390887	9.1485793271104	9.55936958868434	9.16574068121759	9.32925633798802	9.22637662256087	0.7	-0.699507053346089	-1.20961017861773	-4.19884114433207	-5.03263246454461	-1.68691637097526	-5.36680584422122	-2.21542555840635	-4.91840873622951	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-513322.50783253	1 
49	-511648.922185112	10	10.0457372404975	9.62161118350995	9.15202447704075	9.13944732066529	9.55049734929634	9.16612754470652	9.31342464165741	9.229730376093	0.7	-0.713475048846082	-1.20869097928142	-4.1984246310448	-5.03784957584026	-1.6771731726823	-5.36711394408474	-2.21321160828973	-4.9066742573307	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	-1	0.001	0.001	0.9	0	-511588.062492572	1 
