iter	posterior	log.lik	prior.mean	prior.logvar	mean.sigma_sq	mean.root	mean_Certhidea_olivacea	mean_Platyspiza_crassirostris	mean_Pinaroloxias_inornata	mean_Geospiza_fuliginosa	mean_Geospiza_difficilis	mean_Geospiza_conirostris	mean_Geospiza_magnirostris	mean_Geospiza_scandens	mean_Geospiza_fortis	mean_Camarhynchus_heliobates	mean_Camarhynchus_pauper	mean_Camarhynchus_pallidus	mean_Camarhynchus_parvulus	mean_Camarhynchus_psittacula	logvar.sigma_sq	logvar.root	logvar_Certhidea_olivacea	logvar_Platyspiza_crassirostris	logvar_Pinaroloxias_inornata	logvar_Geospiza_fuliginosa	logvar_Geospiza_difficilis	logvar_Geospiza_conirostris	logvar_Geospiza_magnirostris	logvar_Geospiza_scandens	logvar_Geospiza_fortis	logvar_Camarhynchus_heliobates	logvar_Camarhynchus_pauper	logvar_Camarhynchus_pallidus	logvar_Camarhynchus_parvulus	logvar_Camarhynchus_psittacula	acc	temperature 
1000	-548.57499810359	-486.100782960272	-33.383790282786	-19.2849160402891	3.31946787703031	13.253208400037	8.17267791262653	10.6	9.81335603054843	8.90626546534437	11.1557291666667	15.975	17.2083661275382	14.1053751062796	13.3342812629679	10.581304553428	9.62028021482109	11.112675145544	7.08986646720772	9.125	0.559520894701331	0.379112257906858	0.924205952960055	-1.75253875607477	-1.03645370964251	-0.117959932344376	0.593221832436164	1.23659399122981	1.85467900992461	1.44926706559069	0.536678970788987	-0.110469556639515	-1.74131641413722	-1.3815177652076	-0.467222929204548	-0.297732408305283	0.407	1 
2000	-551.702374897259	-486.132991937086	-34.8906659013527	-21.0118622534614	2.44809718511809	11.2497019224441	7.89309147969032	10.6	9.24234202932343	8.95460841101773	11.1557291666667	16.6287835570612	17.8750260555771	13.4631010890713	12.7831913351049	11.3980529089237	9.67574249086829	11.112675145544	6.86179249342849	9.39175210599919	0.690653453667011	0.712142876451838	-0.0483041996169469	-1.75253875607477	-0.895781298602043	-0.159971274543852	0.593221832436164	1.38517012640034	1.60155468573994	1.39042194605119	0.46317542877244	-0.376523881978146	-2.23858214254492	-1.3815177652076	-0.334244367186736	0.229846844330651	0.4215	1 
3000	-556.002941524985	-492.073254040293	-32.2606529320336	-22.0480227404812	2.1094916629529	9.52137470265416	8.3075026868137	9.97517908236143	9.3622984879224	8.95460841101773	11.1557291666667	15.1781494139438	16.507526678698	15.2105776137717	13.5062976910168	10.9010672280794	9.67574249086829	11.3460261407243	7.29945471793009	9.20133084885039	0.797590608176187	1.02968056398938	-0.386276784040207	-0.77395773324702	-1.10206227938091	-0.159971274543852	0.593221832436164	1.06743952408023	1.79793198652939	2.1811086727587	1.18437079979749	-0.298403714065678	-2.23858214254492	-1.77755830293707	-0.374693105483736	-0.2423675217216	0.435	1 
4000	-552.855700318622	-490.812140372785	-32.3881981623525	-19.9551159105134	2.65204337164184	11.8366336959662	8.70812749958858	10.2047795598415	9.90045007077644	9.1984335694033	11.1557291666667	16.1480391226911	17.3278393133944	14.4732529272631	13.3308792240987	10.5281761701193	9.70538575940575	11.1832151291439	7.60298193304191	9.20133084885039	0.701373404107666	-1.45816619099912	-0.848676953986729	-0.905837613977334	-1.0472455414572	0.399834868004776	0.593221832436164	1.12026819579459	1.97031886901058	1.50386442502454	1.37858984606232	-1.06880752066869	-1.69047024834127	-1.59033159420601	-0.170992472299049	-0.2423675217216	0.44375	1 
5000	-562.730952813311	-496.043228358267	-34.3488483285182	-22.5708848294967	2.83971206994054	7.90959825104115	8.01472115481077	10.3051590237062	9.37299454541916	9.6007962063445	11.3248690129365	16.1455101385312	17.2822641051648	15.2219192444741	11.2575678123985	11.4002977813717	9.5314195539133	11.1832151291439	7.77189457269448	8.10481559024115	1.12115513818767	1.48158807481095	-0.364374060337179	-0.229856357577671	-0.604036255076597	0.47404073859123	0.594005179102454	0.910535729109007	1.5831285888537	2.03869871076546	1.16704095768088	-0.19034139703371	-1.35301727569292	-1.59033159420601	-0.52935599769696	0.679624078896048	0.4546	1 
6000	-551.044198259292	-489.940732591462	-32.139266259816	-19.2637883496475	2.67774058778739	10.0374331912051	8.21642557271826	10.297621417657	9.81561641189497	8.99697471466448	11.2008245890607	15.7698627609409	16.3288748315566	14.3194811281563	12.205636714138	10.9564879110717	9.30752904271575	11.1832151291439	7.05290777969544	8.5383332314272	0.618249126244521	0.417847413440016	-0.432146347427915	0.00416129298595791	0.0450289514164692	0.436879571181851	0.769712389312398	0.965177997810931	1.94716262026774	1.31834037368939	0.951300507519957	-0.0769994201751646	-1.91723380506932	-1.59033159420601	-0.690396685920245	-0.327743665745996	0.4565	1 
7000	-552.224838529247	-490.761677726824	-34.6305888437609	-16.8714982022461	4.21067742468177	7.14159219195742	8.31134398006964	10.2192581464361	9.96777351739681	8.99697471466448	11.1211958267906	14.8800743465872	17.8960316500184	13.352751601067	12.5308603808763	11.311199854717	9.74883178663153	11.5267761653893	7.06486176241864	8.72359297750894	0.411921425592998	-1.09522254528651	-0.235618623518693	-0.393080873063816	-0.430747281805024	0.436879571181851	0.653561421326603	1.54295676504525	2.05892964069538	1.55568211509697	1.21381101794723	0.484989259901829	-1.25584856162479	-0.7310215169305	-0.216158396969705	-0.0639079620388492	0.454571428571429	1 
8000	-558.688072542049	-492.742379129512	-35.9590457780464	-19.7154718973812	5.93782077195765	6.45731763915186	8.25154838890032	10.8447498137382	9.30865156263826	8.87338179265962	11.1211958267906	16.448843744032	18.2860748339807	15.0319323911098	12.5013940777126	11.7561938088445	9.32133184005999	11.6889189084435	6.96078211157846	8.68264737272851	0.566240055627943	1.9689646561737	-1.15824229293906	-0.410490350966634	-0.383688626626799	0.203817869467553	0.653561421326603	1.33290875961196	2.118066647621	1.1694596958646	1.4595593744242	-0.674012378281692	-1.04604807826353	-0.401381541081862	-0.661220953904913	-1.1322354709865	0.457	1 
9000	-556.990167839059	-496.516296387541	-35.0086867882421	-15.6660819124901	3.27640812921072	6.31238251410574	8.57167906290699	11.8124972414198	9.72115406423396	8.58476536955034	11.1211958267906	15.8927611054862	17.4177864920172	13.584844459845	12.2574661632993	11.7456202734363	9.49646852034823	11.6824551216393	6.96078211157846	8.68264737272851	0.416876548439259	-0.479985721582376	-0.806600024216957	-0.433133564545478	-1.42700542975577	-0.035179347363636	0.653561421326603	1.13663028882501	1.22096065001364	1.46843477044849	0.908368925959012	-0.481487275223642	-1.5324499423513	-0.699199500148115	-0.661220953904913	-1.1322354709865	0.455222222222222	1 
10000	-548.150043007082	-487.594199741718	-33.1986772595953	-17.503462004746	3.60494032462783	11.8709268981037	7.94057750592202	10.4549036103266	9.72115406423396	9.1028181141927	11.1211958267906	15.6850797234194	17.1205562891818	14.4469156512328	12.7365759189534	10.5044904697749	9.59542841137924	11.6824551216393	7.31564861949147	9.27602208534393	0.506216420263153	0.209693160009306	-0.915935297406776	-0.564575574952587	-1.42700542975577	-0.302788302733546	0.653561421326603	1.50796183753177	1.8132633079972	1.34436744520214	0.794181005173393	-0.963803643387689	-1.57806811446349	-0.699199500148115	-0.986551880234228	-0.598019142581924	0.453	1 
