iter	posterior	log.lik	prior.mean	prior.logvar	mean.sigma_sq	mean.root	mean_Certhidea_olivacea	mean_Platyspiza_crassirostris	mean_Pinaroloxias_inornata	mean_Geospiza_fuliginosa	mean_Geospiza_difficilis	mean_Geospiza_conirostris	mean_Geospiza_magnirostris	mean_Geospiza_scandens	mean_Geospiza_fortis	mean_Camarhynchus_heliobates	mean_Camarhynchus_pauper	mean_Camarhynchus_pallidus	mean_Camarhynchus_parvulus	mean_Camarhynchus_psittacula	logvar.alpha	logvar.sigma_sq	logvar.theta	logvar_Certhidea_olivacea	logvar_Platyspiza_crassirostris	logvar_Pinaroloxias_inornata	logvar_Geospiza_fuliginosa	logvar_Geospiza_difficilis	logvar_Geospiza_conirostris	logvar_Geospiza_magnirostris	logvar_Geospiza_scandens	logvar_Geospiza_fortis	logvar_Camarhynchus_heliobates	logvar_Camarhynchus_pauper	logvar_Camarhynchus_pallidus	logvar_Camarhynchus_parvulus	logvar_Camarhynchus_psittacula	acc	temperature 
11000	-426.170597558444	-358.8070434826	-29.9721789004805	-22.5663179205147	1.83473213316815	4.59679297940189	3.30947423816934	7.0985534540288	4.30391085382684	5.51819868473899	6.54513911972076	9.68607059858484	11.957039163982	7.32819363696427	8.52616411211769	5.03236766530539	4.97271964520803	4.946889594725	4.21253968545364	5.64328460426958	6.35189274736291e-17	0.590413718738485	-2.17647977306593	-1.65363609684003	-1.27148256950916	-3.26910700813245	-0.0914613288600076	-0.982167571186043	0.729712330715638	0.976662790766772	0.360465615950104	-0.113958903240481	-2.75901620215252	-1.30330587306776	-0.753601703310529	-2.17121553096777	-2.1085382223194	0.399181818181818	1 
12000	-429.177822154469	-358.101431391844	-33.0618806680391	-22.7846744265619	4.43572176667676	5.81499761051344	3.4551756436033	7.1961541462785	4.20354371910135	5.87901643829531	6.54513911972076	9.37259231811887	13.0217726533811	7.91158119509567	8.71175909357072	5.03236766530539	4.91778690378219	5.48602329593736	4.07668589549183	5.6652811782543	1.37433724328681e-16	1.19182115244977	-2.62815662787363	-1.29342329215039	-0.310315799030682	-3.50748932490091	-0.289594477688086	-0.982167571186043	0.61530856433668	0.90373739166604	0.845705796451594	0.67376807951057	-2.75901620215252	-1.07500656830632	-1.30128461503914	-1.76671109660947	-2.22862025991786	0.402666666666667	1 
13000	-429.055714821769	-356.095311738382	-34.2391695092003	-23.5672727719482	4.3640835863281	3.49479548414809	3.27760512385539	6.97339757905424	4.20354371910135	5.87901643829531	6.54513911972076	9.40895651158193	13.6387455215115	7.46900556981506	8.40895752763236	5.06258594905602	4.91778690378219	5.66453295231997	4.07668589549183	5.6652811782543	2.06464353494926e-16	0.983249468235824	-3.95426853459065	-1.54506081606388	-0.785441040273928	-3.50748932490091	-0.289594477688086	-0.982167571186043	0.384290286462948	1.31939541795726	0.759028094500228	0.476322835377201	-3.21821145942622	-1.07500656830632	-0.662763557883285	-1.76671109660947	-2.22862025991786	0.403692307692308	1 
14000	-427.500486465295	-355.725491560168	-33.8006439934802	-22.5626153738573	5.66738870839312	1.7228883358934	3.27760512385539	6.99557971503402	4.20354371910135	5.86281089271637	6.54513911972076	9.40895651158193	12.576634795561	7.22472005291323	8.40895752763236	5.17970908300293	5.5081381513569	4.94731231750246	4.07668589549183	5.6652811782543	1.56555264667229e-16	0.937062184752368	-5.71372467395914	-1.54506081606388	0.0516953876681058	-3.50748932490091	-0.858505890731473	-0.982167571186043	0.384290286462948	1.03443018903288	-0.044067615965398	0.476322835377201	-3.26897621383171	-1.08015534491228	-1.12981758948642	-1.76671109660947	-2.22862025991786	0.403642857142857	1 
15000	-430.042673977481	-358.132708813369	-34.3183769842504	-22.6600137113041	3.25241477559265	9.94263211476829	3.3981545037191	6.78014502148695	4.20354371910135	5.86281089271637	6.54513911972076	9.8258902438522	13.026709672544	6.77132877914413	8.59832438709699	5.16260682202036	4.61972137100727	5.23730433271165	4.10158186521136	5.84851474108102	2.22106287635314e-16	0.708972265153359	1.46861011376145	-0.700598053279447	-0.183267788549981	-3.50748932490091	-0.858505890731473	-0.982167571186043	1.60707208848801	1.04467554435385	0.370536331429347	0.147807068060339	-3.20440362098469	-1.15997443682852	-0.968044415429704	-1.94138245686319	-1.94950960179615	0.403733333333333	1 
16000	-425.869021039557	-354.084642104086	-32.2592284391604	-24.4453347020732	3.40649079444048	4.64493452328907	3.35749592371346	6.78014502148695	4.11513549423856	5.86281089271637	6.54513911972076	8.95812815418353	12.5834211831484	6.98018800076096	8.54699838127078	5.16260682202036	5.65436933074615	5.3596043390481	4.2638683007842	5.46422341433285	6.36622043982017e-17	0.654459489624568	-1.2925528347884	-1.54754424036792	-0.183267788549981	-3.78631548889992	-0.858505890731473	-0.982167571186043	0.502383477200333	1.31046488522258	0.590890397315113	0.368804253775803	-3.20440362098469	-0.916351567470303	-1.0940627290826	-1.24647711422289	-2.26304563398112	0.4049375	1 
17000	-427.950193322842	-354.405740372639	-32.0253598462593	-26.5413229867599	2.51302987935918	4.4304371772441	3.32201284617812	6.86444650884149	4.11513549423856	5.86281089271637	6.54513911972076	8.90172670133635	12.4467046047248	6.98018800076096	8.91511099547951	4.90754283176999	5.15031049144319	5.21493733605873	4.43024730411565	5.72283147709709	4.48709933046377e-17	0.82874984851025	-2.34562696334549	-1.29661100426438	-0.0485346515788558	-3.78631548889992	-0.858505890731473	-0.982167571186043	0.865329326535896	1.06184140604211	0.590890397315113	0.447593148060195	-3.03295374896401	-1.581626166029	-0.216550926607394	-0.580984412192461	-2.16273247716201	0.403	1 
18000	-425.424010926695	-355.091056709391	-31.4034077861121	-23.9277824863097	3.02358136398619	4.24348141911163	3.32201284617812	6.74997004873785	4.11513549423856	5.86281089271637	6.54513911972076	9.10929112864902	12.2729030426005	6.98018800076096	8.97867533689372	5.11701450433881	4.99411182808283	5.58882540910083	4.61781048546102	5.40319936361718	1.1672957529733e-16	1.18926382408906	-0.264396291741981	-1.29661100426438	-1.23954899265029	-3.78631548889992	-0.858505890731473	-0.982167571186043	0.64356554132894	0.842505283987745	0.590890397315113	0.137380457779722	-2.7159888446655	-1.80297707010182	-0.118976648536298	-0.906862927216113	-1.47629711103499	0.401611111111111	1 
19000	-424.508856710298	-354.959412847743	-31.9712966483297	-22.5735868278168	3.69027718120391	3.77960548356413	3.32201284617812	6.74997004873785	4.17710964940623	5.86281089271637	6.54513911972076	8.99036055269022	12.2729030426005	6.98018800076096	8.97867533689372	5.11701450433881	4.9872487780536	5.89677790867342	4.61781048546102	5.51201981304463	2.29492244215316e-16	0.730513879661835	-0.332516417119103	-1.29661100426438	-1.23954899265029	-3.85005982208287	-0.858505890731473	-0.982167571186043	0.490397109092838	0.842505283987745	0.590890397315113	0.137380457779722	-2.7159888446655	-2.31666231760295	-0.127329069912831	-0.906862927216113	-1.37661366660726	0.401684210526316	1 
20000	-426.659795616446	-355.564847626844	-29.8027492916029	-26.314555380249	2.2669625148038	5.85876785828909	3.29770469481799	6.74997004873785	4.17710964940623	5.86281089271637	6.54513911972076	9.11306617079044	11.7571640257373	6.98018800076096	8.19380965669752	5.11701450433881	4.9872487780536	5.16511153569127	4.49162828537467	5.56387946392004	2.78140273862537e-17	0.696883378485686	-6.76423007657798	-1.88648254926379	-1.23954899265029	-3.85005982208287	-0.858505890731473	-0.982167571186043	0.275670923669784	1.03816753821816	0.590890397315113	0.285753326657327	-2.7159888446655	-2.31666231760295	-0.819221655601928	-0.837536878958772	-1.36641479530787	0.4001	1 
